pais,codigo_iso2,clasificacion,fuente,motivo
Reino Unido,GB,hotspot,playtomic,"Crecimiento anual medio reciente ~130%; ocupación ~85% en hora punta"
Alemania,DE,hotspot,playtomic,"+50% en pistas y clubes; conversión rápida de clubes de tenis"
Irlanda,IE,hotspot,playtomic,"Motor del crecimiento del 'resto de Europa' desde una base pequeña (FIP)"
Estados Unidos,US,diamonds_in_the_rough,playtomic,"Alto potencial, mercado todavía muy inicial y premium"
India,IN,diamonds_in_the_rough,playtomic,"Indicadores positivos pero aún de alcance limitado (FIP)"
Australia,AU,diamonds_in_the_rough,playtomic,"Pádel pasando de fase embrionaria a fase de crecimiento (FIP)"
Indonesia,ID,diamonds_in_the_rough,playtomic,"~800 pistas nuevas en 2025; 17% de los aficionados de Asia (FIP)"
Brasil,BR,diamonds_in_the_rough,playtomic,"Motor, junto con México, de las nuevas pistas de Latinoamérica en 2025"
Polonia,PL,diamonds_in_the_rough,playtomic,"País que empieza a acelerar en Europa del Este (FIP: emerging)"
Suiza,CH,growing,fip,"+400 pistas en el último periodo"
Portugal,PT,growing,fip,"3er país en aficionados de Europa; aficionados +8%"
México,MX,growing,fip,"Fuerte crecimiento en jugadores (más de 1 millón)"
Sudáfrica,ZA,growing,fip,"~390 instalaciones, boom reciente; aficionados del 16% al 28% del continente en un año"
Marruecos,MA,growing,fip,"Crecimiento similar a Túnez, +100 pistas"
Tailandia,TH,growing,fip,"Indicadores de crecimiento en Asia junto a Líbano e Indonesia"
Israel,IL,growing,fip,"Indicadores positivos en Oriente Medio asiático"
Colombia,CO,emerging,fip,"Acercándose a las 500 pistas"
Filipinas,PH,emerging,fip,"Indicadores positivos pero aún limitados"
China,CN,emerging,fip,"Indicadores positivos pero aún limitados, mercado muy grande en población"
Senegal,SN,emerging,fip,"Uno de los países más prometedores de África en fase inicial"
