pais,arquetipo,orden_arquetipo,pistas_por_100k_min,pistas_por_100k_max,jugadores_por_100k_min,jugadores_por_100k_max,crecimiento_categoria,contexto_txt
GLOBAL,,,,,,,,"58.334 pistas mundiales en 2025 (+7.898 nuevas, +16% interanual); +4.969 clubes nuevos; ~6x el número de pistas desde 2016"
ESPAÑA,Padel Heartlands,1,14,37,3000,13000,estructuralmente_plano,"Mayor base instalada del mundo en términos absolutos"
ITALIA,Padel Heartlands,1,14,37,3000,13000,estructuralmente_plano,
PORTUGAL,Padel Heartlands,1,14,37,3000,13000,estructuralmente_plano,
ARGENTINA,Padel Heartlands,1,14,37,3000,13000,estructuralmente_plano,
PAISES_BAJOS,The Sweet Spot,2,5,19,1000,4000,crecimiento_sano_controlado,"Mercado post punto de inflexión; ya no es un mercado de solo construir pistas nuevas"
BELGICA,The Sweet Spot,2,5,19,1000,4000,crecimiento_sano_controlado,
FRANCIA,The Sweet Spot,2,5,19,1000,4000,crecimiento_sano_controlado,"Mayor cuota de pistas nuevas en 2025 de todo el mundo"
SUIZA,The Sweet Spot,2,5,19,1000,4000,crecimiento_sano_controlado,
SUDAFRICA,The Sweet Spot,2,5,19,1000,4000,crecimiento_sano_controlado,"Clasificación reciente; todavía construyendo hacia estos niveles de penetración"
REINO_UNIDO,The Hotspot,3,2,2,400,600,crecimiento_rapido,"Ocupación media ~85% en hora punta; ~50% de jugadores dice que cuesta encontrar pista en hora punta"
ALEMANIA,The Hotspot,3,2,2,400,600,crecimiento_rapido,"Conversión rápida de clubes de tenis a pádel"
IRLANDA,The Hotspot,3,2,2,400,600,crecimiento_rapido,
ESTADOS_UNIDOS,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,"Demanda concentrada en Florida, Texas, California y costa este; posicionamiento premium"
INDIA,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,
AUSTRALIA,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,
INDONESIA,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,"~800 pistas nuevas en 2025, impulsadas por grandes centros metropolitanos y resorts"
BRASIL,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,"Junto con México, motor de las nuevas pistas en Latinoamérica en 2025"
POLONIA,Diamonds in the Rough,4,0,1,30,230,potencial_largo_plazo,
SUECIA,Post-Boom Adjustment,5,12,33,5000,7000,ajuste_normalizacion,"Fase de corrección profunda tras el boom de 2020; consolidación y cierre de clubes"
FINLANDIA,Post-Boom Adjustment,5,12,33,5000,7000,ajuste_normalizacion,
CHILE,Post-Boom Adjustment,5,12,33,5000,7000,ajuste_normalizacion,
